

"Cable Connection Report"
"Save Time: 2013/08/26 09:34:40"
"User Name:admin"
""

"Total 605 Records"

"Name","Level/Capacity","Rate (bit/s)","Direction","Source NE","Source Port","Sink NE","Sink Port","Length (km)","Designed Attenuation(EOL)","Fiber/Cable Type","Medium Type","Creation Time","Creator","Maintainer","Remarks","Alarm Severity","Disabled Status","Alarm Generation Time"
f-5,10GE_WAN,--,Two-Fiber Bidirectional,8029_KKN-015_H,30-N2PEX1-1(PORT-1),RNC_KKN_MSTP-TP,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2012/12/21 14:41:21,admin,admin,"use core No. 61/37,62/38 ( project 96 core central ) BJ core No. 3,4   true 3G",Normal,Enable,-
f-1,10GE_WAN,--,Two-Fiber Bidirectional,8050-SRN-006_H,7-N2PEX1-1(PORT-1),8051_NMA-020_H,12-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2012/12/21 23:19:29,admin,admin,-,Normal,Enable,-
f-1,10GE_WAN,--,Two-Fiber Bidirectional,8050-SRN-006_H,12-N2PEX1-1(PORT-1),8049_SSK-010_H,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/07 00:12:21,admin,admin,-,Normal,Enable,-
f-13,STM-16,--,Two-Fiber Bidirectional,SRN-006,11-N1SL16-1(SDH-1),8049_SSK-010_H,7-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/07 00:57:54,admin,admin,-,Normal,Enable,-
f-14,STM-16,--,Two-Fiber Bidirectional,8049_SSK-010_H,6-N3SL16-1(SDH-1),SSK-010,9-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/07 00:58:07,admin,admin,-,Normal,Enable,-
f-16,STM-16,--,Two-Fiber Bidirectional,SSK-010,10-S16-1(SDH-1),8049_SSK-010_H,13-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/07 01:11:04,admin,admin,-,Normal,Enable,-
f-17,10GE_WAN,--,Two-Fiber Bidirectional,8049_SSK-010_H,11-N2PEX1-1(PORT-1),8048-SSK-007_H,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/08 00:10:08,admin,admin,-,Normal,Enable,-
f-1,STM-16,--,Two-Fiber Bidirectional,8049_SSK-010_H,12-N3SL16-1(SDH-1),8048-SSK-007_H,7-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/08 00:43:24,admin,admin,-,Normal,Enable,-
f-2,STM-16,--,Two-Fiber Bidirectional,8048-SSK-007_H,14-N3SL16-1(SDH-1),UBN-008,9-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/08 00:43:39,admin,admin,-,Normal,Enable,-
f-3,STM-16,--,Two-Fiber Bidirectional,8048-SSK-007_H,6-N3SL16-1(SDH-1),SSK-007,5-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/08 00:44:04,admin,admin,-,Normal,Enable,-
f-4,STM-16,--,Two-Fiber Bidirectional,SSK-007,6-S16-1(SDH-1),8048-SSK-007_H,13-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/08 00:44:28,admin,admin,-,Normal,Enable,-
f-5,10GE_WAN,--,Two-Fiber Bidirectional,8048-SSK-007_H,11-N2PEX1-1(PORT-1),8047-UBN-011_H,11-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/08 16:49:57,admin,admin,-,Normal,Enable,-
f-2,STM-16,--,Two-Fiber Bidirectional,8048-SSK-007_H,12-N3SL16-1(SDH-1),8047-UBN-011_H,6-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/08 17:59:40,admin,admin,-,Normal,Enable,-
f-6,STM-16,--,Two-Fiber Bidirectional,8047-UBN-011_H,13-N3SL16-1(SDH-1),UBN-004,9-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/09 00:36:13,admin,admin,-,Normal,Enable,-
f-8,STM-16,--,Two-Fiber Bidirectional,8047-UBN-011_H,12-N3SL16-1(SDH-1),1006-UBN-011 Ext1,8-N2SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/09 00:36:50,admin,admin,-,Normal,Enable,-
f-9,STM-16,--,Two-Fiber Bidirectional,8047-UBN-011_H,28-N3SL16-1(SDH-1),UBN-015,10-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/09 00:37:17,admin,admin,-,Normal,Enable,-
f-10,STM-16,--,Two-Fiber Bidirectional,8047-UBN-011_H,4-N3SL16-1(SDH-1),UBN-011,5-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/09 00:37:33,admin,admin,-,Normal,Enable,-
f-11,STM-16,--,Two-Fiber Bidirectional,8047-UBN-011_H,15-N3SL16-1(SDH-1),UBN-011,6-S16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/09 00:37:46,admin,admin,-,Normal,Enable,-
f-5,10GE_WAN,--,Two-Fiber Bidirectional,8042_RET-007_H,7-N2PEX1-1(PORT-1),8043_KSN-021_H,12-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/09 11:23:34,admin,admin,-,Normal,Enable,-
f-6,10GE_WAN,--,Two-Fiber Bidirectional,8042_RET-007_H,8-N2PEX1-1(PORT-1),8043_KSN-021_H,11-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/09 11:30:36,admin,admin,-,Normal,Enable,-
f-3,10GE_WAN,--,Two-Fiber Bidirectional,8047-UBN-011_H,8-N2PEX1-1(PORT-1),8046-UBN-002_H,11-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/10 00:24:21,admin,admin,-,Normal,Enable,-
f-3,STM-16,--,Two-Fiber Bidirectional,8047-UBN-011_H,7-N3SL16-1(SDH-1),8046-UBN-002_H,12-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/10 00:44:31,admin,admin,-,Normal,Enable,-
f-4,STM-16,--,Two-Fiber Bidirectional,8046-UBN-002_H,13-N3SL16-1(SDH-1),UBN-002,6-S16-1(CDMA2010),1.0,0.0,Fiber,G.652,2013/01/10 00:45:27,admin,admin,-,Normal,Enable,-
f-5,STM-16,--,Two-Fiber Bidirectional,8046-UBN-002_H,6-N3SL16-1(SDH-1),UBN-002,5-S16-1(CDMA2010),1.0,0.0,Fiber,G.652,2013/01/10 00:45:44,admin,admin,-,Normal,Enable,-
f-7,10GE_WAN,--,Two-Fiber Bidirectional,8043_KSN-021_H,7-N2PEX1-1(PORT-1),8044_MKM-008_H,12-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/10 10:11:55,admin,admin,-,Normal,Enable,-
f-8,10GE_WAN,--,Two-Fiber Bidirectional,8043_KSN-021_H,8-N2PEX1-1(PORT-1),8044_MKM-008_H,11-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/10 10:13:26,admin,admin,-,Normal,Enable,-
f-2,STM-1,--,Two-Fiber Bidirectional,UDN-006_Ext..1,14-N1SLQ1-2(SDH-2),KKN-015_Ext.1_(3GsHSPA),15-N1SLQ1-2(SDH-2),1.0,0.0,Fiber,G.652,2013/01/10 16:11:58,admin,admin,TRUNK STM-1 UDN-KKN: Over SDH(Ring Protection)-2,Normal,Enable,-
f-3,STM-1,--,Two-Fiber Bidirectional,UDN-006_Ext..1,14-N1SLQ1-3(SDH-3),KKN-015_Ext.1_(3GsHSPA),15-N1SLQ1-3(SDH-3),1.0,0.0,Fiber,G.652,2013/01/10 16:14:23,admin,admin,TRUNK STM-1 UDN-KKN: Over SDH(Ring Protection)-3,Normal,Enable,-
f-2,10GE_WAN,--,Two-Fiber Bidirectional,8041_YST-005-H,7-N2PEX1-1(PORT-1),8046-UBN-002_H,8-N2PEX1-1(PORT-1),1.0,0.0,Fiber,G.652,2013/01/10 23:55:13,admin,admin,-,Normal,Enable,-
f-3,STM-16,--,Two-Fiber Bidirectional,8041_YST-005-H,6-N3SL16-1(SDH-1),8046-UBN-002_H,7-N3SL16-1(SDH-1),1.0,0.0,Fiber,G.652,2013/01/11 00:53:26,admin,admin,-,Normal,Enable,-
